"","z","pval","obs","mean","sd"
"c08",6.07942390780161,0,0.147891,0.082288515,0.0107909048612013
"c09",17.5157132977174,0,0.197607,0.080289722,0.00669783045691256
"c09.npb",9.50483340024718,0,0.237451,0.147029206,0.00951324344071602
"c.avg",21.9892505072288,0,0.229098,0.093737043,0.00615577856805538
"c.avg.npb",14.273312377996,0,0.269672,0.150298669,0.00836339371259245
"x09",16.1130682952176,0,0.281701,0.136544665,0.00900860918234192
"x09.npb",4.0307924710184,0,0.209492,0.167644075,0.0103820589377619
"x.avg",19.9551357898535,0,0.299971,0.139011754,0.00806605616193512
"x.avg.npb",6.40718510532965,0,0.215717,0.15873868,0.00889287870778137
